1,Leclerc,MON,Ferrari
2,Verstappen,NED,RedBull
3,Perez,MEX,RedBull
4,Russel,GBR,Mercedes
5,Sainz,ESP,Ferrari
6,Hamilton,GBR,Mercedes
7,Norris,GBR,Mclaren
8,Bottas,FIN,Alfa Romeo
9,Ocon,FRA,Alpine
10,Magnussen,DEN,Haas
11,Ricciardo,AUS,Mclaren
12,Tsunoda,JPN,Alpha Tauri
13,Gasly,FRA,Alpha Tauri
14,Vettel,GER,Aston Martin
15,Albon,THA,Williams
16,Alonso,ESP,Alpine
17,Stroll,CAD,Aston Martin
18,Zhou,CHN,Alfa Romeo
19,Shumacher,GER,Haas
20,Hulkenberg,GER,Aston Martin
21,Latifi,CAD,Williams
